,ACTA2_1,BCL2_1,CCR7_1,CD14_1,CD163_1,CD19_1,CD27_1,CD274_1,CD3E_1,CD4_1,CD40_1,CD68_1,CD8A_1,CEACAM8_1,CR2_1,CXCR5_1,EPCAM_1,FCGR3A_1,HLA_DRA,ITGAM_1,ITGAX_1,KRT5_1,MS4A1_1,PAX5_1,PCNA_1,PDCD1_1,PECAM1_1,PTPRC_1,PTPRC_2,SDC1_1,VIM_1
Tonsil_1,0.4574,0.6454,0.4257,0.0053,0.3116,0.223,0.3382,0.0692,0.6667,0.2824,0.1669,0.1224,0.7157,0.4228,0.3138,0.4948,0.0094,0.5316,0.2712,0.4641,0.0395,0.572,0.2006,0.3332,0.4422,0.4701,0.4082,-0.0557,0.3258,0.1101,0.4034
Tonsil_2,0.6653,0.5172,0.2401,0.3302,0.4119,0.6123,0.1543,0.2174,0.8596,0.5598,0.0976,0.2673,0.8427,-0.0624,0.5243,0.8454,0.0421,0.4833,0.5477,0.0013,0.4504,0.3504,0.6222,0.5018,0.494,0.7497,0.6598,0.2912,0.6787,0.3818,0.5711
Glioblastoma,0.3087,0.1932,0.3963,-0.2402,0.4777,-0.0377,0.4534,-0.0785,0.2009,0.5323,-0.2077,0.4696,0.1034,-0.1131,-0.2772,-0.1321,0.5975,0.2407,0.0414,-0.3141,-0.0795,-0.0341,-0.0762,0.0691,0.4836,-0.2387,0.0263,0.4145,0.0971,0.1453,0.0963
Breast Cancer,0.5756,0.0453,0.0944,0.2914,0.1221,0.0439,0.5242,0.3296,0.7063,0.3746,-0.1097,0.5256,0.8054,0.0745,-0.1372,0.7994,0.5658,0.2178,0.6475,0.2401,0.1066,0.853,0.317,0.1576,0.8516,-0.0098,0.2271,0.3914,0.8004,0.8154,-0.1641
MaligMeso_1,0.3903,-0.0788,-0.0984,-0.4442,0.2078,-0.0316,0.0581,-0.0116,0.4219,-0.0793,-0.0369,0.5884,0.5401,0.3305,-0.0849,0.0696,-0.0249,-0.2059,0.5772,-0.3882,0.0901,0.2714,-0.0125,0.0047,0.0807,-0.0739,0.3271,0.1273,0.5159,0.293,0.3357
MaligMeso_2,0.7126,0.0082,0.1294,0.0845,0.2835,-0.0405,0.0786,0.0357,0.2926,0.0248,0.036,0.4184,0.4305,-0.1595,-0.1083,-0.0393,-0.0486,0.1682,0.5229,0.1967,0.0277,0.3584,-0.0245,0.0784,0.4183,-0.047,0.2935,0.156,0.3021,0.3032,0.3816
