,ACTA2_1,BCL2_1,CCR7_1,CD14_1,CD163_1,CD19_1,CD274_1,CD27_1,CD3E_1,CD40_1,CD4_1,CD68_1,CD8A_1,CEACAM8_1,CR2_1,CXCR5_1,EPCAM_1,FCGR3A_1,HLA_DRA_1,ITGAM_1,ITGAX_1,KRT5_1,MS4A1_1,PAX5_1,PCNA_1,PDCD1_1,PECAM1_1,PTPRC_1,PTPRC_2,SDC1_1,VIM_1
Tonsil_1,0.640247034,0.61448187,0.636166658,0.13737276,0.269615162,0.658210071,0.635832019,0.488782837,0.815005933,0.040545865,0.609618918,0.504013561,0.829997809,0.493447779,0.420622386,0.728192718,0.020784219,0.585718033,0.279009611,0.710676675,0.500149729,0.690181959,0.498389059,0.864079357,0.61685104,0.62564672,0.661692161,0.103016353,0.683050044,0.144853316,0.600481461
Tonsil_2,0.779959872,0.573630541,0.484469728,0.133200889,0.262565787,0.738641685,0.755210583,0.093732937,0.918207005,0.098697673,0.657808219,0.556175483,0.860994887,0.490944372,0.559679115,0.89619047,0.563741677,0.591620813,0.678447748,0.53546348,0.734656632,0.822869136,0.783643885,0.801788106,0.606792181,0.757947183,0.787114847,0.488958815,0.858170431,0.533608611,0.662308051
Breast Cancer,0.642749281,-0.260536159,0.513363516,0.392136118,0.254852643,0.585060318,0.712975749,0.003800402,0.886562168,0.507887213,0.503985273,0.579283916,0.814927709,0.330023416,-0.12519476,0.864568495,0.572041265,0.735283394,0.705719087,0.31308182,0.541124397,0.80319698,0.394242174,0.376159459,0.838504329,0.71271035,0.626266638,0.439657001,0.847847645,0.832319646,0.754686983
Glioblastoma,0.143535809,-0.066211031,0.378738841,0.680944643,0.715612089,0.20010016,-0.107210773,-0.412256973,0.188501582,0.374000928,0.277378295,0.431097174,0.082652994,0.344557355,0.359582277,0.283188294,0.456346926,0.497884042,0.318791043,0.490949775,0.312228722,-0.006656303,0.185407617,0.066047407,0.145292716,0.207015468,0.621855874,-0.311993441,0.417386357,0.05728287,0.444414407
MaligMeso_1,0.69999433,0.265658897,0.226295317,0.473724431,0.461984083,0.022582141,0.511145659,0.174904349,0.558888668,0.331476161,0.058947363,0.65674004,0.447152854,0.300477915,0.019498301,0.02751691,0.006553108,0.49415444,0.710379114,0.299584649,0.447679269,0.430783756,0.022103738,0.012229263,0.616701277,0.121532083,0.528436148,-0.001846601,0.312040255,0.279718609,0.511670267
MaligMeso_2,0.382964225,0.198443016,0.010929909,0.665578151,0.600992322,0.244345208,0.179507087,0.195053259,0.389747526,0.28916858,0.284006372,0.663306765,0.489251458,0.175980689,0.017102228,0.108123078,0.039161035,0.61367978,0.695230085,0.276581716,0.442647468,0.337652944,0.123169187,0.000815535,0.227301672,0.205190591,0.458768599,0.128836689,0.595465818,0.307596272,0.48750247
