,ACTA2_1,BCL2_1,CCR7_1,CD14_1,CD163_1,CD19_1,CD274_1,CD27_1,CD3E_1,CD40_1,CD4_1,CD68_1,CD8A_1,CEACAM8_1,CR2_1,CXCR5_1,EPCAM_1,FCGR3A_1,HLA_DRA_1,ITGAM_1,ITGAX_1,KRT5_1,MS4A1_1,PAX5_1,PCNA_1,PDCD1_1,PECAM1_1,PTPRC_1,PTPRC_2,SDC1_1,VIM_1
Tonsil_1,0.455589802,0.610200093,0.504590231,-0.003615533,0.222425324,0.658963683,0.515585213,0.549094374,0.804444656,0.29432902,0.534926234,0.428136918,0.795878789,0.444839166,0.298984824,0.712156463,0.001709538,0.542915413,0.331809013,0.745954833,0.372415273,0.6013053,0.514512943,0.707763115,0.540054181,0.623938936,0.634594994,0.154323912,0.662492919,0.159682474,0.52300324
Tonsil_2,0.683051619,0.565644219,0.431765013,0.426594314,0.103236576,0.739959769,0.63869884,0.342237395,0.87193099,0.149388074,0.388776549,0.510430225,0.848207674,0.375631779,0.446176075,0.846778427,0.343365098,0.550666897,0.674247217,0.470894475,0.574532717,0.791031248,0.650519057,0.716575982,0.428507462,0.75167251,0.67393499,0.482173235,0.802270354,0.410281967,0.566485895
Breast Cancer,0.355150039,-0.029681848,0.586961519,0.025379063,0.1968606,0.418385436,0.500053645,0.555569494,0.559842195,0.350922469,0.266800781,0.508448232,0.392574339,0.199107865,-0.153851786,0.57124067,0.675563553,0.311822014,0.299802213,0.273311091,0.763346022,0.820159094,0.188505805,-0.059446947,0.692504878,0.549237197,0.25759265,0.208992176,0.763313726,-0.159516145,0.707962173
Glioblastoma,-0.021615778,-0.297467666,-0.11545878,0.286998256,0.698655973,0.130798246,-0.365364523,-0.468796816,-0.293363179,0.367703924,0.158550425,0.122366801,-0.066426782,0.263151326,0.161574921,0.076903204,0.459604091,0.331987714,-0.049414333,0.355201729,0.457183494,0.11020862,0.136683531,-0.031864758,-0.386354291,-0.217698425,0.349237469,-0.348989045,0.699459142,0.075289708,0.519618607
MaligMeso_1,0.556127596,0.28762988,0.193892206,0.318495671,0.292386995,0.041266152,0.420910788,0.034404433,0.398066445,0.061320859,0.042364661,0.594294607,0.282103664,0.317314213,-0.055799326,-0.059564071,0.038260748,0.378493927,0.510986025,0.222721904,0.200822665,0.28674389,0.002205237,0.007718231,0.516594327,0.0309523,0.40154579,-0.114558093,0.301852142,0.031116441,0.488089685
MaligMeso_2,0.305150886,0.539769953,0.072370854,0.662876657,0.717142433,0.170369676,0.266260444,0.23226895,0.324427724,0.273591112,0.013929686,0.707553397,0.268337369,0.109293236,-0.007843094,0.077817757,0.051367405,0.591000023,0.781000105,0.247022001,0.452473571,0.123391057,0.11365824,0.064138268,0.058956637,0.089057391,0.061223422,0.167103851,0.505529349,0.311470888,0.35576023
