Sample,Protein_Spearman,Protein_RMSE,Cell_Spearman,Cell_RMSE
Tonsil,0.5147384719604908,0.9102116832373363,0.6039882714840692,0.043972914066222925
Tonsil_AddOns,0.5889239951696207,0.8109630139318844,0.6645167686180289,0.0381668713325068
Breast,0.4672889750706693,0.9746026193458431,0.46047634936661147,0.06338659137765715
Glioblastoma,0.19936618587869154,1.238351321039969,0.2273562958198239,0.055515478379711825
PBC-PR_6835-5A,0.2794976906226861,1.1405570256023065,0.31513720376264204,0.061065074912429185
PBC_PR_6837,0.2896656403225691,1.1450076020418305,0.2928412019352782,0.04545764723139705
