Sample,Protein_Spearman,Protein_RMSE,Cell_Spearman,Cell_RMSE
Tonsil,0.5195720360318056,0.9080961,0.6138995899673677,0.045460083
Tonsil_AddOns,0.6150722851974445,0.7905921,0.6873768506962701,0.03918185
Breast,0.5386866602783792,0.9214751,0.5385302247557707,0.059227455
Glioblastoma,0.2508537143217383,1.2271394,0.27299699612692396,0.059806727
PBC-PR_6835-5A,0.32350667073665534,1.1149577,0.373004508779353,0.060431212
PBC_PR_6837,0.3172290237340593,1.132471,0.2974724140630737,0.047634058
