Sample,Protein_Spearman,Protein_RMSE,Cell_Spearman,Cell_RMSE
Tonsil,0.46008955707939125,0.9748055447160525,0.2536511184459137,0.09137521926957881
Tonsil_AddOns,0.5501841804746135,0.8656291065512703,0.29521951310504096,0.08544971758026151
Breast,0.33489369469613084,1.1310837960145077,0.1491116773043454,0.08420548472781389
Glioblastoma,0.12207096500030647,1.3219182498021473,-0.043205523967863785,0.10540999423289373
PBC-PR_6835-5A,0.1662248152094508,1.278509460205943,0.012461447684694827,0.11346827440627066
PBC_PR_6837,0.16454961207007812,1.2891574626434192,0.020658935670035978,0.11903540499640072
