Sample,Protein_Spearman,Protein_RMSE,Cell_Spearman,Cell_RMSE
Tonsil,0.4820324303754583,0.9585473732204621,0.4895040185408527,0.055085619136296955
Tonsil_AddOns,0.5566344078197408,0.8687189844129439,0.5617630636900198,0.04663733026107402
Breast,0.374093942268484,1.067193435836909,0.2871186133916827,0.07077040098378923
Glioblastoma,0.09994718720965791,1.3106965525773808,0.019960135858101205,0.12539880299047396
PBC-PR_6835-5A,0.22673419327731992,1.1958370832812872,0.1622649713052302,0.08503798761390424
PBC_PR_6837,0.2808538540657107,1.1515951910911533,0.11440077564480933,0.07230863619409314
