Sample,Protein_Spearman,Protein_RMSE,Cell_Spearman,Cell_RMSE
Tonsil,0.4700573365954002,1.0029586115104125,0.3628244099703197,0.20449381636779307
Tonsil_AddOns,0.46389594206766255,1.0029627429380257,0.23524606476262788,0.20449652876135124
Breast,0.3829200759092584,1.0591538050175897,0.22889943199975354,0.21649339245199797
Glioblastoma,0.19802312027506797,1.2641000706598686,0.09376332590777449,0.22960022849456055
PBC-PR_6835-5A,0.19327625094443238,1.2333631024518625,0.15620989052379158,0.21736660631242075
PBC_PR_6837,0.23170803968229356,1.1956738355948608,0.0660909137558847,0.2360722761762925
