Sample,Protein_Spearman,Protein_RMSE,Cell_Spearman,Cell_RMSE
Tonsil,0.32158669752349184,1.127925,0.3539528248498707,0.23943871
Tonsil_AddOns,0.41094710596451817,1.0407494,0.4015071681538854,0.23411183
Breast,0.3856388807999499,1.0733119,0.3346988134335199,0.24166042
Glioblastoma,0.1377216486906665,1.3020587,0.13342461892497715,0.25926888
PBC-PR_6835-5A,0.12682011431933873,1.3011454,0.15963393361107756,0.26052976
PBC_PR_6837,0.1481469868063409,1.2805737,0.16469833866322778,0.25847858
